tone,split
surge-patches-3rdparty-Argitoth-Drums-Kick-velocity64,valid
surge-patches-3rdparty-Argitoth-Drums-Snare-velocity64,train
surge-patches-3rdparty-Argitoth-FX-Computer-Language-1-velocity64,train
surge-patches-3rdparty-Argitoth-FX-Computer-Language-2-velocity64,train
surge-patches-3rdparty-Argitoth-FX-Monster-Feedback-velocity64,train
surge-patches-3rdparty-Argitoth-FX-Reson-velocity64,train
surge-patches-3rdparty-Argitoth-Keys-Gumdrops-velocity64,train
surge-patches-3rdparty-Argitoth-Keys-Music-Toy-velocity64,train
surge-patches-3rdparty-Argitoth-Leads-Argitoth-velocity64,valid
surge-patches-3rdparty-Argitoth-Leads-Earmelt-Saw-velocity64,train
surge-patches-3rdparty-Argitoth-Leads-Garbage-Man-velocity64,valid
surge-patches-3rdparty-Argitoth-Leads-Screaming-Saw-velocity64,train
surge-patches-3rdparty-Argitoth-Leads-Trance-Lead-1-velocity64,train
surge-patches-3rdparty-Argitoth-Leads-Trance-Lead-2-velocity64,train
surge-patches-3rdparty-Argitoth-Leads-Trance-Lead-3-velocity64,train
surge-patches-3rdparty-Argitoth-Pads-Blue-Pad-velocity64,train
surge-patches-3rdparty-Argitoth-Pads-Classic-Strings-velocity64,train
surge-patches-3rdparty-Argitoth-Pads-Saw-Square-Pad-velocity64,valid
surge-patches-3rdparty-Argitoth-Pads-Subtle-Pad-velocity64,train
surge-patches-3rdparty-Argitoth-Rhythms-Edges-Rhythm-velocity64,train
surge-patches-3rdparty-Argitoth-Rhythms-Psyence-Loop-velocity64,train
surge-patches-3rdparty-Argitoth-Rhythms-Raindrops-velocity64,train
surge-patches-3rdparty-Argitoth-Rhythms-Scrooz-Loop-velocity64,train
surge-patches-3rdparty-Argitoth-Templates-Dirty-Saw-Init-velocity64,train
surge-patches-3rdparty-Argitoth-Templates-Surge-FX-True-Stereo-1-velocity64,train
surge-patches-3rdparty-Argitoth-Templates-Surge-FX-True-Stereo-2-velocity64,train
surge-patches-3rdparty-Argitoth-Winds-Arabian-Flute-velocity64,train
surge-patches-3rdparty-Argitoth-Winds-Asian-Flute-velocity64,train
surge-patches-3rdparty-Argitoth-Winds-Block-velocity64,train
surge-patches-3rdparty-Argitoth-Winds-Recorder-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-1-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-10-velocity64,test
surge-patches-3rdparty-Bluelight-Basses-Bass-11-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-12-velocity64,test
surge-patches-3rdparty-Bluelight-Basses-Bass-13-velocity64,valid
surge-patches-3rdparty-Bluelight-Basses-Bass-14-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-15-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-16-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-17-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-2-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-3-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-4-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-5-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-6-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-7-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-8-velocity64,train
surge-patches-3rdparty-Bluelight-Basses-Bass-9-velocity64,test
surge-patches-3rdparty-Bluelight-Basses-Bass-Seq-110-BPM-velocity64,train
surge-patches-3rdparty-Bluelight-Brass-Horns-1-velocity64,valid
surge-patches-3rdparty-Bluelight-Brass-Horns-2-velocity64,valid
surge-patches-3rdparty-Bluelight-Brass-Horns-3-velocity64,train
surge-patches-3rdparty-Bluelight-Brass-Soprano-Sax-velocity64,train
surge-patches-3rdparty-Bluelight-Keys-Digi-Piano-velocity64,train
surge-patches-3rdparty-Bluelight-Keys-Donna-s-Glass-Hammers-velocity64,train
surge-patches-3rdparty-Bluelight-Keys-Ghost-Glass-Harmonium-velocity64,test
surge-patches-3rdparty-Bluelight-Keys-Pianoish-velocity64,train
surge-patches-3rdparty-Bluelight-Keys-Rotary-Blue-velocity64,valid
surge-patches-3rdparty-Bluelight-Keys-Treated-Rhodes-velocity64,train
surge-patches-3rdparty-Bluelight-Leads-A-Rattle-In-The-Old-Man-s-Sax-velocity64,train
